words,commit_message
52,1307317457 Merge pull request #32614 from yardbirdsax/fix/30670
38,2d9e3da983 Update internal/states/remote/state.go
19,896f806550 Update CHANGELOG.md
99,d818d7850d Structured Renderer: use the new renderer when rendering the state in addition to the plan (#32629)
72,c70244426a Fix for no json output of state locking actions for --json flag (#32451)
19,5264510c79 Update CHANGELOG.md
113,6ad7c8ba9b Merge pull request #32610 from hashicorp/TF-4115-backport-generic-hostname-configuration-in-cli-to-backend-remote
31,d45ebfbdef chore: clean-up tests & logging
26,2576544db8 fix: remote state behavior
21,68e227d93d wip: refactored tests
36,09e0dffe6c wip: failing unit test for condition
55,81a4e5ae44 Backport support for generic hostname to backend/remote
37,85eb978f92 Update CHANGELOG for generic hostname
102,0cafe0dfdb Merge pull request #32571 from hashicorp/TF-3527-detect-alias-localterraform-com-during-terraform-init
101,24b88b7a72 Reverse the order of conversion/defaults, and update HCL with more flexible defaults package (#32454)
66,2fe3a23094 Add generic hostname (localterraform.com) support to cloud backend
56,9fd76e56cd Factor out terraform-config-inspect/tfconfig during init
74,fc8fed0047 Merge pull request #32583 from hashicorp/jbardin/store-null-module-outputs
33,47fed6d31e save null module outputs in state
43,6236fb506e docs: http backend mtls attributes (#32580)
19,f3a6985760 Update CHANGELOG.md
115,75e5ae27a2 [fixes 31700] Add mTLS support for http backend by way of client cert & key, as well as enterprise cacert. (#31699)
19,7d2afaa2af update CHANGELOG.md
82,b6906f3572 Merge pull request #32563 from hashicorp/jbardin/optional-computed-comparison-next
77,799f4a76ab Merge pull request #32554 from hashicorp/jbardin/optional-computed-comparison
70,33c1ffa7c2 Merge pull request #32553 from hashicorp/jbardin/nesting-map-objchange
71,f6af5c1ef7 Merge pull request #32551 from hashicorp/jbardin/optional-computed-null
81,aacbc167eb Merge pull request #32536 from hashicorp/jbardin/optional-computed-nested-objects
29,d1d55653e4 update comment for fixed test
21,e5c1b8f2c9 Update local-exec.mdx
19,6c5805d560 Update CHANGELOG.md
26,6bbb76eca3 Added Quiet value (#32116)
19,29b8a07105 Update CHANGELOG.md
70,e2380b1038 cliconfig: Allow forcing use of the plugin cache despite the lock file
59,3cc7e55465 Expand error when discovery document request fails (#32394)
42,60d6e52021 a new method of ProposedNew set comparison
51,f1bfe9bd01 Remove references to old linux signing key (#32566)
77,8458715240 Merge pull request #32560 from mcdonagj/fix-spelling-of-network-in-setproduct
36,8f30e970d2 Remove references to old signing key
